Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependencies),Custom field (Design),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Effort 10),Custom field (Effort Impact custom score),Custom field (Effort T-shirt size),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Impact),Custom field (Impact 10),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Oversubscription score),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Request Type),Custom field (Roadmap),Custom field (Sample team),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target quarter),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value score),Custom field (Value to end user),Custom field (Value to product/tech),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
"El campo ""Código"" NO solo permite 2 caracteres, no hay restricción en el campo para bloquear mas de 2.",TRIP-17,10026,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:17,4/9/25 16:18,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33add5a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:17
"El campo ""Código"" NO solo permite numero, también se puede digitár letras o caracteres.",TRIP-16,10025,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:16,4/9/25 16:16,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6e3c6b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:16
"El formato especificaco ""nn"" NO se respeta en el campo ""Codigo"" se puede ingresar mas caracteres y dar clicl al boton ""Agregar"".",TRIP-15,10024,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:15,4/9/25 16:16,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@463270bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:15
"El sistema SI permite introducir otros caracteres o números que no se ajusten a los requisitos del rango en el campo ""Numero de tarjeta (no la tuya):""",TRIP-14,10023,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:14,4/9/25 16:16,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3807e076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:14
"Los espacios NO se añaden automáticamente cuando el usuario introduce el número y le quita el foco en el campo ""Numero de tarjeta (no la tuya):"".",TRIP-13,10022,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:12,4/9/25 16:13,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@feefbfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:12
"Restricciones para nnnn: del 0000 al 9999 incluido no se respetan, tambien se puede digitar caracteres especiales y numeros.",TRIP-12,10021,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:09,4/9/25 16:10,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b64d619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:09
"NO solo se permiten 12 caracteres en el campo ""Numero de tarjeta (no la tuya):"" (se pueden mas de 12).",TRIP-11,10020,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:05,4/9/25 16:07,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41b06141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:05
"NO solo números se permiten en el campo, se puede ingresar todo tipo de caracteres ""Numero de tarjeta (no la tuya):""",TRIP-10,10019,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 16:04,4/9/25 16:07,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e96891f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 16:04
"El formato especificaco ""nnnn nnnn nnnn"" NO se respeta en el campo ""Numero de tarjeta (no la tuya):""",TRIP-9,10018,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,High,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 15:42,4/9/25 16:07,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b6f9687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 15:42
"Elemento de diseño en Figma  ""9882_gruop"" no se desplega al hacer clic en ""cancelar""",TRIP-8,10017,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 15:35,4/9/25 16:07,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34ae87f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 15:35
"Elemento de diseño en Figma  ""14098_gruop"" tamaño de la ventana no esta idéntico al mostrado en Figma.",TRIP-7,10016,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Low,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 15:28,4/9/25 16:08,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@324bb717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 15:28
"Elemento de diseño en Figma  ""10381_frame"" texto de ""Precio - $2.45"" incorrecto, el texto mostrado es de ""$150"".",TRIP-6,10015,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 15:24,4/9/25 16:09,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6873c020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 15:24
"Elemento de diseño en Figma  ""344_group"" no se muestra correctamente en la sección inferior izquierda, esta entrecortado el texto.",TRIP-5,10014,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Medium,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 15:21,4/9/25 15:21,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25df6d54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 15:21
"Elemento en Figma ""6362_component"" no se muestra en el navegador al cargar la función de compartir vehículo.",TRIP-4,10013,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 15:17,4/9/25 15:19,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42e31021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 15:17
"Elemento en Figma ""6376_component"" no se muestra en el navegador al cargar la función de compartir vehículo.",TRIP-3,10012,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Highest,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 15:12,4/9/25 15:19,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@135f43f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 15:12
"Figura de persona caminando antes del texto ""4 min"" no se encuentra igual que en los diseños proveídos en Figma.",TRIP-2,10011,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Medium,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 15:08,4/9/25 15:08,,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77b14829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002f:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 15:08
"La figura del vehículo ""BMW 750"" no es identica a lo proveído en Figma.",TRIP-1,10010,Bug,To Do,TRIP,TripleTenProject,software,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,Medium,,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,4/9/25 14:51,4/9/25 14:51,4/9/25 15:09,,,0,,,Alessio Altamirano,712020:5f0ed646-32a4-476f-92de-6046cdfaa3e8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ca0c9c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00027:,,,,,,,,,,,,,,,,,,,,To Do,4/9/25 14:51
